date,value
1901-06-30,588.0
1902-06-30,562.0
1903-06-30,562.0
1904-06-30,541.0
1905-06-30,544.0
1906-06-30,595.0
1907-06-30,666.0
1908-06-30,602.0
1909-06-30,604.0
1910-06-30,676.0
1911-06-30,702.0
1912-06-30,693.0
1913-06-30,714.0
1914-06-30,725.0
1915-06-30,683.0
1916-06-30,761.0
1917-06-30,1101.0
1918-06-30,3645.0
1919-06-30,5130.0
1920-06-30,6649.0
1921-06-30,5571.0
1922-06-30,4026.0
1923-06-30,3853.0
1924-06-30,3871.0
1925-06-30,3641.0
1926-06-30,3795.0
1927-06-30,4013.0
1928-06-30,3900.0
1929-06-30,3862.0
1930-06-30,4058.0
1931-06-30,3116.0
1932-06-30,1924.0
1933-06-30,1997.0
1934-06-30,2955.0
1935-06-30,3609.0
1936-06-30,3923.0
1937-06-30,5387.0
1938-06-30,6751.0
1939-06-30,6295.0
1940-06-30,6548.0
1941-06-30,8712.0
1942-06-30,14634.0
1943-06-30,24001.0
1944-06-30,43747.0
1945-06-30,45159.0
1946-06-30,39296.0
1947-06-30,38514.0
1948-06-30,41560.0
1949-06-30,39415.0
1950-06-30,39443.0
1951-06-30,51616.0
1952-06-30,66167.0
1953-06-30,69608.0
1954-06-30,69701.0
1955-06-30,65451.0
1956-06-30,74587.0
1957-06-30,79990.0
1958-06-30,79636.0
1959-06-30,79249.0
1960-06-30,92492.0
1961-06-30,94388.0
1962-06-30,99676.0
1963-06-30,106560.0
1964-06-30,112613.0
1965-06-30,116817.0
1966-06-30,130835.0
1967-06-30,148822.0
1968-06-30,152973.0
1969-06-30,186882.0
1970-06-30,192807.0
1971-06-30,187139.0
1972-06-30,207309.0
1973-06-30,230799.0
1974-06-30,263224.0
1975-06-30,279090.0
1976-06-30,298060.0
1977-09-30,355559.0
1978-09-30,399561.0
1979-09-30,463302.0
1980-09-30,517112.0
1981-09-30,599272.0
1982-09-30,617766.0
1983-09-30,600562.0
1984-09-30,666438.0
1985-09-30,734037.0
1986-09-30,769155.0
1987-09-30,854287.0
1988-09-30,909238.0
1989-09-30,991104.0
1990-09-30,1031958.0
1991-09-30,1054988.0
1992-09-30,1091208.0
1993-09-30,1154334.0
1994-09-30,1258566.0
1995-09-30,1351790.0
1996-09-30,1453053.0
1997-09-30,1579232.0
1998-09-30,1721728.0
1999-09-30,1827452.0
2000-09-30,2025191.0
2001-09-30,1991082.0
2002-09-30,1853136.0
2003-09-30,1782314.0
2004-09-30,1880114.0
2005-09-30,2153611.0
2006-09-30,2406869.0
2007-09-30,2567985.0
2008-09-30,2523991.0
2009-09-30,2104989.0
2010-09-30,2162706.0
2011-09-30,2303466.0
2012-09-30,2449990.0
2013-09-30,2775106.0
2014-09-30,3021491.0
2015-09-30,3249890.0
2016-09-30,3267965.0
2017-09-30,3316184.0
2018-09-30,3329907.0
2019-09-30,3463364.0
2020-09-30,3421164.0
2021-09-30,4047111.0
2022-09-30,4897339.0
2023-09-30,4440948.0
2024-09-30,4919884.0
2025-09-30,5236421.0
