date,value
1984-01-01,22420.0
1985-01-01,23620.0
1986-01-01,24900.0
1987-01-01,26060.0
1988-01-01,27230.0
1989-01-01,28910.0
1990-01-01,29940.0
1991-01-01,30130.0
1992-01-01,30640.0
1993-01-01,31240.0
1994-01-01,32260.0
1995-01-01,34080.0
1996-01-01,35490.0
1997-01-01,37010.0
1998-01-01,38890.0
1999-01-01,40700.0
2000-01-01,41990.0
2001-01-01,42230.0
2002-01-01,42410.0
2003-01-01,43320.0
2004-01-01,44330.0
2005-01-01,46330.0
2006-01-01,48200.0
2007-01-01,50230.0
2008-01-01,50300.0
2009-01-01,49780.0
2010-01-01,49280.0
2011-01-01,50050.0
2012-01-01,51020.0
2013-01-01,53590.0
2014-01-01,53660.0
2015-01-01,56520.0
2016-01-01,59040.0
2017-01-01,61140.0
2018-01-01,63180.0
2019-01-01,68700.0
2020-01-01,68010.0
2021-01-01,70780.0
2022-01-01,74580.0
2023-01-01,80610.0
2024-01-01,83730.0
